City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,llallagua,-18.4167,-66.6333,2.78,10,0,2.85,BO,1723250825
288,oskaloosa,41.2964,-92.6444,20.01,63,0,3.09,US,1723250825
289,pudozh,61.8099,36.5345,15.01,86,99,1.56,RU,1723250825
290,george town,5.4112,100.3354,27.96,88,20,1.03,MY,1723250793
291,callao,-12.0667,-77.15,17.07,82,75,5.66,PE,1723250825
292,porto novo,6.4965,2.6036,24.9,86,50,2.15,BJ,1723250826
293,turpan,42.9333,89.1667,34.24,17,0,0.48,CN,1723250826
294,ambalangoda,6.2355,80.0538,28.32,86,100,4.47,LK,1723250826
295,puerto aysen,-45.4,-72.7,5.67,100,100,1.98,CL,1723250826
296,rapallo,44.3511,9.2297,27.56,79,72,2.05,IT,1723250827
297,sisimiut,66.9395,-53.6735,5.92,90,96,3.05,GL,1723250827
298,huntingdon,52.3305,-0.1865,16.03,81,37,1.34,GB,1723250651
299,nova vicosa,-17.8919,-39.3719,23.0,78,5,5.46,BR,1723250827
300,nea alikarnassos,35.3333,25.1667,26.82,59,0,4.63,GR,1723250827
301,sao luis do quitunde,-9.3183,-35.5611,20.69,82,4,0.81,BR,1723250828
302,luau,-10.7073,22.2247,16.81,25,3,1.9,AO,1723250828
303,shenjiamen,29.9576,122.298,28.42,84,100,6.42,CN,1723250828
304,mount pearl,47.5166,-52.7813,17.75,76,75,6.69,CA,1723250828
305,orsa,54.5153,30.4053,17.53,68,100,2.7,BY,1723250829
306,sinjai,-5.1241,120.253,26.16,71,100,2.52,ID,1723250829
307,lichinga,-13.3128,35.2406,15.05,63,0,2.68,MZ,1723250830
308,yurga,55.7231,84.8861,15.32,99,100,2.56,RU,1723250830
309,kissidougou,9.1848,-10.0999,21.14,99,100,2.06,GN,1723250830
310,mpulungu,-8.7623,31.1141,21.28,39,3,3.01,ZM,1723250830
311,port isabel,26.0734,-97.2086,33.02,76,0,5.14,US,1723250831
312,egersund,58.4513,5.9997,14.49,82,11,6.43,NO,1723250831
313,novo aripuana,-5.1206,-60.3797,26.26,38,10,0.91,BR,1723250831
314,ballina,-28.8667,153.5667,19.32,70,11,3.5,AU,1723250831
315,doctor alberto oviedo mota,32.2275,-115.1697,41.07,22,9,2.58,MX,1723250832
316,jiwani,25.05,61.7417,27.05,84,100,3.89,PK,1723250832
317,ambon,-3.6954,128.1814,27.08,74,40,1.54,ID,1723250832
318,brookings,44.3114,-96.7984,18.19,71,75,4.12,US,1723250782
319,sabang,5.8933,95.3214,26.23,86,100,4.09,ID,1723250832
320,mafinga,-7.25,35.0667,17.23,53,0,1.48,TZ,1723250833
321,muscat,23.6139,58.5922,29.01,79,29,1.76,OM,1723250833
322,palmerston,-12.486,130.9833,27.99,54,0,4.63,AU,1723250833
323,karukh,34.4811,62.5863,22.38,48,0,5.93,AF,1723250833
324,nabire,-3.3667,135.4833,27.33,82,62,0.68,ID,1723250834
325,rongelap,11.1635,166.8941,28.49,75,100,7.62,MH,1723250834
326,st. john's,47.5649,-52.7093,18.21,76,75,6.69,CA,1723250834
327,pisco,-13.7,-76.2167,16.03,82,0,1.03,PE,1723250834
328,forster,-32.1667,152.5167,18.54,67,3,1.81,AU,1723250835
329,shanwei,22.782,115.3475,29.34,76,100,3.69,CN,1723250835
330,acapulco de juarez,16.8634,-99.8901,30.9,74,75,2.57,MX,1723250835
331,opuwo,-18.0607,13.84,18.38,20,0,2.05,NA,1723250836
332,brokopondo,4.75,-55.1667,27.11,69,51,4.29,SR,1723250836
333,ghanzi,-21.5667,21.7833,12.75,11,0,3.22,BW,1723250837
334,okotoks,50.7289,-113.9828,24.04,39,0,4.97,CA,1723250586
335,olyokminsk,60.3736,120.4264,26.06,44,63,1.29,RU,1723250837
336,fada,7.25,4.0667,23.37,94,75,0.0,NG,1723250837
337,la passe,45.5549,-0.8967,20.13,92,52,3.04,FR,1723250837
338,talcahuano,-36.7167,-73.1167,9.82,93,0,3.6,CL,1723250838
339,lufilufi,-13.8745,-171.5986,25.88,77,64,10.65,WS,1723250838
340,lazaro cardenas,17.9583,-102.2,28.35,82,100,1.88,MX,1723250838
341,toliara,-23.35,43.6667,19.21,83,0,2.97,MG,1723250838
342,masaurhi buzurg,25.35,85.0333,28.94,78,99,1.89,IN,1723250839
343,sibolga,1.7427,98.7792,26.3,86,13,0.45,ID,1723250839
344,al kharijah,25.4514,30.5464,33.09,21,5,3.88,EG,1723250839
345,loen,7.7601,168.2307,28.65,71,63,3.38,MH,1723250840
346,napanee,44.2501,-76.9494,23.91,85,0,5.43,CA,1723250840
347,flying fish cove,-10.4217,105.6791,25.82,83,100,6.17,CX,1723250840
348,kharp,66.8014,65.8081,12.23,74,100,0.27,RU,1723250841
349,ojuelos de jalisco,21.8667,-101.5833,19.9,51,10,7.35,MX,1723250841
350,selibaby,15.159,-12.1829,29.3,71,98,5.38,MR,1723250841
351,nidadavole,16.9167,81.6667,27.17,86,24,2.42,IN,1723250841
352,badger,64.8,-147.5333,16.14,72,75,3.6,US,1723250841
353,iligan,8.2282,124.2412,29.53,66,63,1.57,PH,1723250842
354,laascaanood,8.4774,47.3597,22.86,66,17,12.0,SO,1723250842
355,nagqu,31.5,92.0,4.7,74,0,1.73,CN,1723250842
356,ambovombe,-25.1667,46.0833,18.74,80,0,2.76,MG,1723250842
357,tual,-5.6667,132.75,25.44,83,84,8.62,ID,1723250843
358,lubango,-14.9172,13.4925,16.92,25,0,3.09,AO,1723250843
359,general acha,-37.377,-64.6043,10.6,35,100,4.48,AR,1723250843
360,tugulym,57.0591,64.6425,7.04,69,100,1.95,RU,1723250843
361,whitby,54.4877,-0.615,15.73,79,100,1.34,GB,1723250844
362,nova sintra,14.8667,-24.7167,25.66,83,13,4.24,CV,1723250844
363,vadso,70.0744,29.7487,15.49,76,40,2.57,NO,1723250844
364,sterling,39.0062,-77.4286,27.44,87,100,1.54,US,1723250844
